iter,objective,step_size,null
0,6.65721375191996,0.0,false
1,5.083479045663276,1.0,false
2,3.8007704213351383,1.0,false
3,2.834815131008822,1.0,false
4,2.1244845025009123,1.0,false
5,1.595122821195881,1.0,false
6,1.2191581171557144,1.0,false
7,0.9539691443255088,1.0,false
8,0.7454071552020449,1.0,false
9,0.5649177173233473,1.0,false
10,0.4071078847353485,1.0,false
11,0.2618390709520019,1.0,false
12,0.17469906866554083,1.0,false
13,0.16468772224727246,100.0,false
14,0.1274378431403906,10.0,false
15,0.082884534486255,1.0,false
16,0.07503925756711641,100.0,false
17,0.05772064473194133,10.0,false
18,0.045507986024130434,10.0,false
19,0.029117538612619967,10.0,false
20,0.027785031002043332,100.0,false
21,0.019579360299479164,10.0,false
22,0.010871745808652083,10.0,false
23,0.010466863884464186,1000.0,false
24,0.010177699304921132,1000.0,false
25,0.009001727547416037,100.0,false
26,0.004917065058999892,10.0,false
27,0.004588242563526247,1000.0,false
28,0.003594139033403926,100.0,false
29,0.002152529285728337,100.0,false
30,0.002007381047244197,1000.0,false
31,0.0013162409446690869,100.0,false
32,0.0012279309746750283,1000.0,false
33,0.0006859816961645569,100.0,false
34,0.0006449042122388069,10000.0,false
35,0.0006231408655060856,10000.0,false
36,0.0005666884298399502,1000.0,false
37,0.0005469395434628644,10000.0,false
38,0.00047114002604353516,1000.0,false
39,0.00033882168680419213,100.0,false
40,0.0002572131625583631,10000.0,false
41,0.00019264884575634722,1000.0,false
42,0.00011513683737921454,1000.0,false
43,0.00010544423568364697,99999.99999999999,false
44,9.86129055699887e-5,99999.99999999999,false
45,8.383363335462344e-5,10000.0,false
46,8.23109617566428e-5,99999.99999999999,false
47,5.925088888535615e-5,1000.0,false
48,5.2522565463492975e-5,99999.99999999999,false
49,4.948360724156206e-5,99999.99999999999,false
50,4.539453319863083e-5,10000.0,false
51,4.142897220495055e-5,99999.99999999999,false
52,3.425497782123865e-5,10000.0,false
53,3.242560156285243e-5,99999.99999999999,false
54,2.5880883836305927e-5,10000.0,false
55,2.4833986416824383e-5,99999.99999999999,false
56,1.901448510106026e-5,10000.0,false
57,1.1998509211593648e-5,10000.0,false
58,1.1701786584745043e-5,1.0e6,false
59,6.045210305809227e-6,10000.0,false
60,5.839521498637917e-6,1.0e6,false
61,5.690072979960028e-6,1.0e6,false
62,4.692429050120422e-6,99999.99999999999,false
63,3.6802486148920518e-6,99999.99999999999,false
64,3.01693343191647e-6,99999.99999999999,false
65,2.210297691766356e-6,99999.99999999999,false
66,2.0707479122214607e-6,1.0e6,false
67,1.5375877708011051e-6,99999.99999999999,false
68,1.446341786284809e-6,1.0e6,false
69,8.380040468851068e-7,99999.99999999999,false
70,8.035593034243981e-7,1.0e7,false
71,7.306089832215459e-7,1.0e6,false
72,2.972689453303476e-7,99999.99999999999,false
73,2.583018882501882e-7,1.0e7,false
74,1.5317840677897333e-7,1.0e6,false
75,1.4674745870252114e-7,1.0e8,false
76,1.2523922228847286e-7,1.0e7,false
77,1.1347087771415673e-7,1.0e7,false
78,1.0260102861249932e-7,1.0e7,false
79,8.247123768230204e-8,1.0e6,false
80,7.741676182506745e-8,1.0e8,false
81,7.451206313803847e-8,1.0e8,false
82,6.996827302011615e-8,1.0e7,false
83,6.718566884740007e-8,1.0e8,false
84,5.96513342204183e-8,1.0e7,false
85,4.178503276695768e-8,1.0e6,false
86,3.7641337997596056e-8,1.0e8,false
87,3.5992567171891554e-8,1.0e8,false
88,2.780900068760193e-8,1.0e7,false
89,2.5285950870102207e-8,1.0e8,false
90,2.0173425925876003e-8,1.0e7,false
91,2.0173425925876003e-8,1.0e8,true
92,1.8330037496937936e-8,1.0e8,false
93,1.4178205967267892e-8,1.0e7,false
94,6.724359551122319e-9,1.0e7,false
95,6.724359551122319e-9,1.0e7,true
96,1.477100171431466e-9,1.0e7,false
97,1.477100171431466e-9,1.0e7,true
98,1.477100171431466e-9,1.0e8,true
99,4.1978629069991957e-10,1.0e8,false
100,4.1978629069991957e-10,1.0e8,true
101,4.1978629069991957e-10,1.0e8,true
102,4.1978629069991957e-10,1.0e8,true
103,4.1978629069991957e-10,1.0e8,true
104,4.1978629069991957e-10,1.0e8,true
105,4.1978629069991957e-10,1.0e8,true
106,4.1978629069991957e-10,1.0e8,true
107,4.1978629069991957e-10,1.0e8,true
108,4.1978629069991957e-10,1.0e8,true
109,1.3741382172205316e-10,1.0e8,false
110,1.3741382172205316e-10,1.0e8,true
111,1.3741382172205316e-10,1.0e8,true
112,1.3741382172205316e-10,1.0e8,true
113,1.3741382172205316e-10,1.0e8,true
114,1.3741382172205316e-10,1.0e8,true
115,1.3741382172205316e-10,1.0e8,true
116,5.915366486516758e-11,1.0e8,false
117,5.915366486516758e-11,1.0e8,true
118,5.915366486516758e-11,1.0e8,true
119,5.915366486516758e-11,1.0e8,true
120,5.915366486516758e-11,1.0e8,true
121,5.915366486516758e-11,1.0e8,true
122,5.915366486516758e-11,1.0e8,true
123,5.915366486516758e-11,1.0e8,true
124,5.915366486516758e-11,1.0e8,true
125,5.915366486516758e-11,1.0e8,true
126,5.915366486516758e-11,1.0e8,true
127,5.915366486516758e-11,1.0e8,true
128,5.915366486516758e-11,1.0e8,true
129,5.915366486516758e-11,1.0e8,true
130,5.915366486516758e-11,1.0e8,true
131,5.915366486516758e-11,1.0e8,true
132,5.915366486516758e-11,1.0e8,true
133,2.8392115527914087e-11,1.0e8,false
134,2.8392115527914087e-11,1.0e8,true
135,2.8392115527914087e-11,1.0e8,true
136,1.2891416445674298e-11,1.0e8,false
137,1.2891416445674298e-11,1.0e8,true
138,1.2891416445674298e-11,1.0e8,true
139,1.2891416445674298e-11,1.0e8,true
140,1.2891416445674298e-11,1.0e8,true
141,1.2891416445674298e-11,1.0e8,true
142,1.2891416445674298e-11,1.0e8,true
143,1.2891416445674298e-11,1.0e8,true
144,1.2891416445674298e-11,1.0e8,true
145,1.2891416445674298e-11,1.0e8,true
146,1.2891416445674298e-11,1.0e8,true
147,1.2891416445674298e-11,1.0e8,true
148,1.2891416445674298e-11,1.0e8,true
149,1.2891416445674298e-11,1.0e8,true
150,5.870198394526698e-12,1.0e8,false
